                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1385,                 4.4751,                 0.5662,                 3.4788,                 2.4927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2647,                0.78192,                0.33952,                 3.2185,                 4.6906,               0.000275,               0.000275,               0.000275
                      2,                 2.2955,                  4.915,                0.63075,                 3.7282,                 2.8151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2647,                0.78192,                0.33952,                 3.2185,                 4.6906,             0.00055136,             0.00055136,             0.00055136
                      3,                  2.209,                 5.2646,                0.56389,                 3.6344,                 2.5976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2059,                 1.2497,                0.41211,                 3.3375,                 4.2174,             0.00081634,             0.00081634,             0.00081634
                      4,                 2.0877,                 5.1441,                0.56082,                 3.6196,                 2.5259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2059,                 1.2497,                0.41211,                 3.3375,                 4.2174,              0.0010699,              0.0010699,              0.0010699
                      5,                 2.1278,                 5.0204,                0.61547,                 3.6103,                 2.4806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2059,                 1.2497,                0.41211,                 3.3375,                 4.2174,               0.001151,               0.001151,               0.001151
                      6,                 2.1292,                 5.1815,                0.59522,                 3.2561,                 2.5189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.837,                 6.7927,                 1.7156,                 3.5434,                  3.116,               0.001151,               0.001151,               0.001151
                      7,                 2.0429,                 5.1331,                0.56028,                 3.1179,                 2.4073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.837,                 6.7927,                 1.7156,                 3.5434,                  3.116,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.9238,                 6.1553,                0.60086,                 3.1694,                 2.2288,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.837,                 6.7927,                 1.7156,                 3.5434,                  3.116,              0.0011015,              0.0011015,              0.0011015
                      9,                    2.4,                 6.7832,                0.71387,                 3.2143,                 2.8564,                0.24064,                    0.5,                 0.3765,                0.21697,                      0,                      0,                      0,                      0,                 2.9548,                 7.7809,                 3.0378,                 10.102,                  4.046,              0.0010768,              0.0010768,              0.0010768
                     10,                 2.3128,                 7.6035,                0.73293,                 3.0762,                  2.552,                0.24064,                    0.5,                 0.3765,                0.21697,                      0,                      0,                      0,                      0,                 2.9548,                 7.7809,                 3.0378,                 10.102,                  4.046,               0.001052,               0.001052,               0.001052
                     11,                 2.3751,                 7.1605,                0.70246,                 3.1647,                 2.5635,                0.40805,                0.58333,                0.57354,                0.30841,                0.09866,                0.16667,                0.09883,                0.01977,                 1.8893,                 5.0962,                0.39522,                 4.5506,                  2.942,              0.0010273,              0.0010273,              0.0010273
                     12,                 2.1505,                 6.5131,                0.62493,                 2.9199,                 2.5969,                0.40805,                0.58333,                0.57354,                0.30841,                0.09866,                0.16667,                0.09883,                0.01977,                 1.8893,                 5.0962,                0.39522,                 4.5506,                  2.942,              0.0010025,              0.0010025,              0.0010025
                     13,                 2.2889,                  7.914,                0.69882,                 3.1042,                 2.6174,                0.40805,                0.58333,                0.57354,                0.30841,                0.09866,                0.16667,                0.09883,                0.01977,                 1.8893,                 5.0962,                0.39522,                 4.5506,                  2.942,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.9572,                 6.6265,                0.59407,                  2.817,                 2.3037,                0.28678,                    0.5,                0.56494,                0.24499,                      0,                      0,                      0,                      0,                 1.9654,                 6.6891,                0.28499,                 11.447,                 2.8766,               0.000953,               0.000953,               0.000953
                     15,                 2.1833,                 7.7626,                0.75965,                 2.7597,                 2.5836,                0.28678,                    0.5,                0.56494,                0.24499,                      0,                      0,                      0,                      0,                 1.9654,                 6.6891,                0.28499,                 11.447,                 2.8766,             0.00092825,             0.00092825,             0.00092825
                     16,                 2.2946,                 7.0421,                0.68884,                  3.108,                 2.6505,                0.28678,                    0.5,                0.56494,                0.24499,                      0,                      0,                      0,                      0,                 1.9654,                 6.6891,                0.28499,                 11.447,                 2.8766,              0.0009035,              0.0009035,              0.0009035
                     17,                 2.3558,                  6.889,                0.60107,                  2.944,                 2.8513,                0.33258,                   0.75,                0.63946,                0.24632,                0.26591,                0.58333,                0.37893,                0.05207,                 2.3368,                 5.6878,                0.82501,                 11.829,                 3.9312,             0.00087875,             0.00087875,             0.00087875
                     18,                 2.1827,                 6.2377,                0.50428,                 2.7573,                 2.5452,                0.33258,                   0.75,                0.63946,                0.24632,                0.26591,                0.58333,                0.37893,                0.05207,                 2.3368,                 5.6878,                0.82501,                 11.829,                 3.9312,               0.000854,               0.000854,               0.000854
                     19,                 2.2323,                 6.2051,                0.60325,                 3.0291,                 2.6337,                0.33258,                   0.75,                0.63946,                0.24632,                0.26591,                0.58333,                0.37893,                0.05207,                 2.3368,                 5.6878,                0.82501,                 11.829,                 3.9312,             0.00082925,             0.00082925,             0.00082925
                     20,                 2.1289,                 6.0754,                0.59628,                 2.7044,                 2.6514,                0.44986,                   0.75,                0.64488,                0.31428,                0.08295,                0.16667,                0.05423,                0.02169,                 1.8711,                  5.051,                0.76796,                 6.5272,                  3.274,              0.0008045,              0.0008045,              0.0008045
                     21,                 2.3152,                 6.3172,                0.53728,                 2.7683,                 2.5775,                0.44986,                   0.75,                0.64488,                0.31428,                0.08295,                0.16667,                0.05423,                0.02169,                 1.8711,                  5.051,                0.76796,                 6.5272,                  3.274,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.9589,                 6.4799,                 0.5783,                 2.6708,                 2.4752,                0.44986,                   0.75,                0.64488,                0.31428,                0.08295,                0.16667,                0.05423,                0.02169,                 1.8711,                  5.051,                0.76796,                 6.5272,                  3.274,               0.000755,               0.000755,               0.000755
                     23,                 2.1196,                 6.4257,                0.63445,                  2.775,                 2.6286,                0.41667,                0.58333,                 0.5618,                0.26129,                0.08333,                0.16667,                0.05555,                0.01111,                 1.8452,                 5.3314,                0.95196,                 5.0552,                 3.1676,             0.00073025,             0.00073025,             0.00073025
                     24,                 2.0645,                 5.9641,                0.56969,                 2.7207,                 2.5236,                0.41667,                0.58333,                 0.5618,                0.26129,                0.08333,                0.16667,                0.05555,                0.01111,                 1.8452,                 5.3314,                0.95196,                 5.0552,                 3.1676,              0.0007055,              0.0007055,              0.0007055
                     25,                 2.1715,                 6.0263,                0.58568,                 2.8016,                 2.5149,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.7633,                 4.8024,                0.76878,                 3.7948,                 3.1255,             0.00068075,             0.00068075,             0.00068075
                     26,                 2.1808,                 6.5101,                0.58741,                 2.5727,                 2.4447,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.7633,                 4.8024,                0.76878,                 3.7948,                 3.1255,               0.000656,               0.000656,               0.000656
                     27,                 2.0203,                 6.3764,                0.65891,                  2.927,                 2.5422,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.7633,                 4.8024,                0.76878,                 3.7948,                 3.1255,             0.00063125,             0.00063125,             0.00063125
                     28,                 2.1353,                 7.5071,                0.61923,                 2.7203,                 2.5278,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.4947,                 4.4649,                0.42543,                 3.0477,                 2.4794,              0.0006065,              0.0006065,              0.0006065
                     29,                 2.0421,                 6.1289,                0.56037,                 2.7708,                 2.4152,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.4947,                 4.4649,                0.42543,                 3.0477,                 2.4794,             0.00058175,             0.00058175,             0.00058175
                     30,                 2.0095,                 6.6697,                0.54182,                 2.6692,                 2.4862,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.4947,                 4.4649,                0.42543,                 3.0477,                 2.4794,               0.000557,               0.000557,               0.000557
                     31,                 1.9029,                 5.9774,                0.58124,                    2.8,                 2.4018,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.3458,                 5.1501,                0.31614,                 2.6315,                 2.3438,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.8714,                  5.626,                0.59745,                 2.6507,                 2.2429,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.3458,                 5.1501,                0.31614,                 2.6315,                 2.3438,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.7599,                 6.1137,                0.52691,                 2.6866,                 2.1784,                0.15576,                0.16667,                0.20896,                0.10439,                      0,                      0,                      0,                      0,                 1.3458,                 5.1501,                0.31614,                 2.6315,                 2.3438,             0.00048275,             0.00048275,             0.00048275
                     34,                 2.0799,                  6.986,                0.58755,                 2.8249,                 2.5299,                    0.5,                0.16667,                0.33333,                0.03333,                      0,                      0,                      0,                      0,                 1.3652,                 5.3814,                0.29526,                 3.0605,                 2.2203,               0.000458,               0.000458,               0.000458
                     35,                 1.9756,                 6.8857,                0.58427,                 2.7888,                 2.3861,                    0.5,                0.16667,                0.33333,                0.03333,                      0,                      0,                      0,                      0,                 1.3652,                 5.3814,                0.29526,                 3.0605,                 2.2203,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.9201,                 6.5393,                0.53301,                 2.6974,                 2.2796,                0.33333,                0.33333,                 0.3336,                0.17788,                0.19385,                0.16667,                0.13903,                0.04171,                 1.3186,                 5.0543,                0.29266,                 3.5948,                 2.2254,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.8737,                 6.2111,                0.48411,                 2.5528,                 2.2748,                0.33333,                0.33333,                 0.3336,                0.17788,                0.19385,                0.16667,                0.13903,                0.04171,                 1.3186,                 5.0543,                0.29266,                 3.5948,                 2.2254,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.8926,                 5.7718,                0.53484,                 2.4658,                 2.3645,                0.33333,                0.33333,                 0.3336,                0.17788,                0.19385,                0.16667,                0.13903,                0.04171,                 1.3186,                 5.0543,                0.29266,                 3.5948,                 2.2254,               0.000359,               0.000359,               0.000359
                     39,                 1.8342,                   5.43,                 0.4338,                 2.4176,                 2.2083,                0.30419,                0.33333,                0.31958,                0.14037,                0.15728,                0.16667,                0.12521,                0.01252,                 1.5368,                 4.6293,                0.32104,                 3.7692,                 2.5181,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.7899,                 6.0964,                0.45663,                 2.5946,                 2.3103,                0.30419,                0.33333,                0.31958,                0.14037,                0.15728,                0.16667,                0.12521,                0.01252,                 1.5368,                 4.6293,                0.32104,                 3.7692,                 2.5181,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.8022,                 5.5433,                0.49741,                 3.0491,                 2.5223,                0.30419,                0.33333,                0.31958,                0.14037,                0.15728,                0.16667,                0.12521,                0.01252,                 1.5368,                 4.6293,                0.32104,                 3.7692,                 2.5181,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.6482,                 5.3425,                0.47633,                 2.6521,                 2.5118,                   0.55,                   0.75,                  0.553,                0.33033,                   0.35,                0.41667,                0.26254,                  0.045,                 1.5301,                 5.0022,                0.30836,                  4.709,                  2.508,                0.00026,                0.00026,                0.00026
                     43,                 1.8194,                 5.3332,                0.45577,                 2.8668,                 2.5641,                   0.55,                   0.75,                  0.553,                0.33033,                   0.35,                0.41667,                0.26254,                  0.045,                 1.5301,                 5.0022,                0.30836,                  4.709,                  2.508,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.7342,                  5.279,                0.44026,                 2.9895,                 2.5116,                   0.55,                   0.75,                  0.553,                0.33033,                   0.35,                0.41667,                0.26254,                  0.045,                 1.5301,                 5.0022,                0.30836,                  4.709,                  2.508,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.6063,                 5.7109,                0.45207,                 2.6941,                 2.5145,                   0.55,                   0.75,                  0.553,                0.31686,                   0.45,                0.58333,                0.45466,                0.07088,                 1.3795,                 4.6754,                0.28518,                 4.2855,                 2.3262,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.6406,                 5.3552,                0.45234,                 2.5247,                 2.5357,                   0.55,                   0.75,                  0.553,                0.31686,                   0.45,                0.58333,                0.45466,                0.07088,                 1.3795,                 4.6754,                0.28518,                 4.2855,                 2.3262,               0.000161,               0.000161,               0.000161
                     47,                 1.6539,                 6.0465,                0.44588,                 2.8013,                 2.3917,                   0.55,                   0.75,                  0.553,                0.31686,                   0.45,                0.58333,                0.45466,                0.07088,                 1.3795,                 4.6754,                0.28518,                 4.2855,                 2.3262,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.6622,                 5.3315,                0.42175,                 2.6147,                 2.4304,                    0.3,                    0.5,                  0.415,                0.25803,                0.22529,                0.33333,                0.31116,                0.05118,                 1.5258,                 4.6029,                0.26114,                 3.4674,                  2.366,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.3461,                 5.2817,                0.42286,                 2.6346,                 2.2937,                    0.3,                    0.5,                  0.415,                0.25803,                0.22529,                0.33333,                0.31116,                0.05118,                 1.5258,                 4.6029,                0.26114,                 3.4674,                  2.366,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.8165,                 5.1393,                0.43237,                 2.6413,                  2.573,                   0.25,                0.33333,                0.31958,                0.20035,                   0.25,                0.33333,                0.31958,                0.06392,                 1.2085,                 4.1943,                0.27181,                 3.5291,                 2.1696,                6.2e-05,                6.2e-05,                6.2e-05
